id,name,city,contact,latitude,longtiude,rate,reviews,short_desc,long_desc,image,image2,image3,image4,image5,
1,Seed Cafe,colombo,0117773470,6.910917,79.870545,4.6,926,"in Colombo where you can get a healthy meal which is soo delicious","Discover a world of wholesome flavors at Seed Cafe in Colombo. Sri Lanka. Indulge in a symphony of taste within our restaurant. where nourishing dishes meet a vibrant ambiance. From delectable creations to a cozy atmosphere",http://drive.google.com/uc?export=view&id=1TOAC-AXcZd9BUAo5MDLOcSTjzdNj3f-0,http://drive.google.com/uc?export=view&id=1Y1a-QcO17mDzzUlQjWa81kw3aC7J8EQt,http://drive.google.com/uc?export=view&id=12aQX6UzMV5D7vH68qM9QOWu1AU-kXSLD,http://drive.google.com/uc?export=view&id=1AeAoQKAMX5zmu5pcmMEpAixiBj7vPvFk,http://drive.google.com/uc?export=view&id=1O_cRgSPj9CoTem_u_EcmI_Ug_LduONJX,
2,Calorie Counter Restuarant,colombo,0713282828,6.890207,79.865625,4.0,278,"Calorie Counter is the first & only Health Food Restaurant Chain in Sri Lanka","Calorie Counter is the nation’s first authentic health food restaurant where you can count the calories that you have in one serving. and to choose the mix of what you ingest within the day. Order across the counter or call in",http://drive.google.com/uc?export=view&id=1FHIa0kHq4aYNSJ2eqeZi6RAKGCWbIMiM,http://drive.google.com/uc?export=view&id=1YQkrIR3vU8hA2j4iEVCNiVxC7CvENx13,http://drive.google.com/uc?export=view&id=13LuBg-hsSk6HSg3gboQ2pXJbcoJ8JPxE,http://drive.google.com/uc?export=view&id=1JZSgWys8Ige9E7zxgFClxY-MwZtHf6-P,http://drive.google.com/uc?export=view&id=1IjVJFhknx9awvnhlr9Q9_8w1PhvUg0xZ,
3,Grind,colombo,0761051064,6.919647,79.857363,4.7,476,"The Grind specialises in dolled up brunch meals and homemade desserts. They've got some of the prettiest dishes I have ever seen","The Grind specialises in dolled up brunch meals and homemade desserts. They've got some of the prettiest dishes I have ever seen. All their bread is from bread.lk and ingredients like the peanut butter used in their cheesecakes",http://drive.google.com/uc?export=view&id=1nCiMgulOYLerEoO61H1CJRoN8WR_spKl,http://drive.google.com/uc?export=view&id=1lYIVqlZU5wWSvcG_O4u8n_TQ-OPnpLhT,http://drive.google.com/uc?export=view&id=1dhVp0sGO8Ir6XSRc9tqmK-cWzdDnJ4Lw,http://drive.google.com/uc?export=view&id=10SRMH8HfBWo3jr4Gg-b2ZFnzaSOylFY9,http://drive.google.com/uc?export=view&id=1_NO_mYNlQhxUbcEN-oRV8_Qt7ObbL4IX,
4,Superfood Cafe,colombo,0766668177,6.916255,79.873718,4.4,172,"Feed your body nourish your SOUL Smoothies | Bowls | Toasties | Treats Open 7 Days | Kitchen till 3PM Dog Friendly","Everything we serve is carefully crafted with as many organic ingredients as possible and we only use the freshest products we can find. Conscious of where we source our ingredients",https://lh3.googleusercontent.com/p/AF1QipOGwZUYamKfRDvLmS0mcQ-lfpyTHcoqL2tgBlBM=s680-w680-h510,
5,Cafe Kumbuk,colomo,0112685310,6.908997,79.864735,4.5,1289,"Cafe Kumbuk is for when you need to sit back and enjoy life. This laid-back space promotes healthy living and natural eating for all","We started Slash because we wanted to give people more. More time with friends. More nights out. More dinners. safaris. spa days more of what makes life worth living. And of course more savings",http://drive.google.com/uc?export=view&id=1sCrDtJ3gDFvid8O18k7vWuz1LboeAPBr,http://drive.google.com/uc?export=view&id=1cQR2vcm_4hM6vkx22fdoCm9MS1jFLJn0,http://drive.google.com/uc?export=view&id=13zGVx-algBdEXCqZfUlJqaDAkSDJ4702,http://drive.google.com/uc?export=view&id=1TGMOdt7GZGj_7gzWJWTMX-QFfy_KGx39,http://drive.google.com/uc?export=view&id=1o8czmLQGQFk7ayWQDwcYpb4whdFrdZ2e,
6,Natural Eats (Pvt) Ltd,colombo,0771359161,6.921607,79.851990,4.0,36,"We want to promote healthy eating in Sri Lanka Our primary focus is on meal plan subscriptions","Natural Eats  your new favourite pre and post workout meal",http://drive.google.com/uc?export=view&id=1MGwxww2dcjGuBz9HBNBBiS64ByBBt5Y_,http://drive.google.com/uc?export=view&id=1zZx7thdE_6Vw2IfJUJNJrpBlR_IDobSO,http://drive.google.com/uc?export=view&id=1qn4_iQ-7A8cn3FbwZ4AD6_nspX3RV4t8,http://drive.google.com/uc?export=view&id=19ZqSjppZoRKRLC6XPcgLz5-FlSw_sU34,http://drive.google.com/uc?export=view&id=1zs7rRsQyjxCp4KS6dtg-4o2ZeZuRK5wT,
7,Bowl’d,colombo,0114382838,6.892926,79.858772,4.6,589,"Bowl'd stemmed from the idea to give people in Sri Lanka a healthier option for fast food. We are a quick service restaurant that aims to help you create","Bowl’d stemmed from the idea to give people in Sri Lanka a healthier option for fast food. We are a quick service restaurant that aims to help you create delicious",http://drive.google.com/uc?export=view&id=1bRo9SS7DxLPiSDDh7v4EPIuFMh4s8fz8,http://drive.google.com/uc?export=view&id=1bRo9SS7DxLPiSDDh7v4EPIuFMh4s8fz8,http://drive.google.com/uc?export=view&id=1gRTFvUPa8thx4Hmk4PHthCtvgbgwzThq,http://drive.google.com/uc?export=view&id=1s88W5PT6f48UFEsjjx1DQD9lmCuj2xoG,http://drive.google.com/uc?export=view&id=1SLfDKtyZQwY3HIKLiLZeWVx5Sui_dHo0,
8,The Willow,dehiwala,0764913939,6.860217,79.886936,4.5,13,"Best place in Fayette County to get a home-cooked meal for an affordable price. Great family friendly environment","The Willow Restaurant serves traditional Yorkshire fare in a relaxed and friendly atmosphere. Owned and run by head chef Margaret Ninness whose creative hand .Want to know what to expect at The Willow Restaurant the perfect place for family dining",http://drive.google.com/uc?export=view&id=1EvqHhDCjCxT3bnQlzl9U2FTG2v6c9pjE,http://drive.google.com/uc?export=view&id=1EvqHhDCjCxT3bnQlzl9U2FTG2v6c9pjE,http://drive.google.com/uc?export=view&id=12QboAeyWzbSIRI52a-d5Q1j2L0Tt4y8t,http://drive.google.com/uc?export=view&id=145VlX-Ogz9RMSTnjhBWzQzbc-GiwSPhF,http://drive.google.com/uc?export=view&id=1HyZRjjt2llmINeYIxYhmXjtOifobTPiW,
9,Life’s Good Kitchen,colombo,0761313278,6.893253,79.865446,4.9,603,"Life's Good Kitchen offers healthy nutritious ready-made food. They want to make it easier for people in Sri Lanka to find healthy snack options","One of the best place to dine in. Friendly staff who make delicious healthy food. And very calm environment in busy Colombo. Every food item is below Rs.1000/. Life's Good Kitchen offers healthy nutritious ready-made food. They want to make it easier for people in Sri Lanka to find healthy snack options",http://drive.google.com/uc?export=view&id=1-bITW96ucjgJlRbYU_DInwd6CJc_Wjew,http://drive.google.com/uc?export=view&id=1-bITW96ucjgJlRbYU_DInwd6CJc_Wjew,http://drive.google.com/uc?export=view&id=1b5nGVbQ_0-60WtGynybqr0dChmcKe42M,http://drive.google.com/uc?export=view&id=1UhV-sOtMhffsYKz1yJuq7oZMgrhuRULN,http://drive.google.com/uc?export=view&id=1N2R9TeQx-nMEEXIGfWSMBGHLkVT-Ud7Y,
